,Titulo,Data,URL da noticia
43,"Entre Fernando Colunga y Diego Boneta: el misterio sobre el actor que 
interpretará a Luis Miguel",05-01-2020,https://www.infobae.com/america/entretenimiento/2020/01/05/entre-fernando-colunga-y-diego-boneta-el-misterio-sobre-el-actor-que-interpretara-a-luis-miguel/
44,"Clausura 2020: radiografía de los fichajes más prometedores del futbol 
mexicano",05-01-2020,https://www.infobae.com/america/deportes/2020/01/05/clausura-2020-radiografia-de-los-fichajes-mas-prometedores-del-futbol-mexicano/
45,"Kicillof demora nombramientos y las empresas de la Provincia siguen en 
manos de la administración de Vidal",05-01-2020,https://infocielo.com/designaciones/kicillof-demora-nombramientos-y-las-empresas-la-provincia-siguen-manos-la-administracion-vidal-n113800
46,"Un día con Evo Morales: recorrió Isla Maciel y anunció su primer acto 
""porteño""",06-01-2020,https://www.perfil.com/noticias/internacional/evo-morales-anuncia-su-primer-acto-politico-en-buenos-aires.phtml
47,"Producción automotriz se derrumbó 32,5% en 2019 en Argentina",06-01-2020,https://www.infobae.com/america/agencias/2020/01/07/produccion-automotriz-se-derrumbo-325-en-2019-en-argentina/
48,Celulosa salió del default,06-01-2020,https://www.cronista.com/apertura/empresas/Celulosa-salio-del-default-20200106-0008.html
49,¿Qué son los niños índigo y por qué convocan multitudes?,06-01-2020,https://www.clarin.com/sociedad/-ninos-indigo-convocan-multitudes-_0_nsa4noP_.html
50,"Video: el ranking de los mejores diez alfajores de Argentina, según el 
creador de los Guaymallén",06-01-2020,https://www.clarin.com/viste/video-ranking-mejores-alfajores-argentina-creador-guaymallen_3_YFt4QnxI.html
51,Nocturns Gaming presentó su equipo de Counter Strike Femenino,06-01-2020,https://www.infobae.com/gaming/2020/01/06/nocturns-gaming-presento-su-equipo-de-counter-strike-femenino/
52,Un sismo destruyó un atractivo turístico de Puerto Rico,06-01-2020,https://www.clarin.com/viajes/sismo-destruyo-atractivo-turistico-puerto-rico_0_VxjK8InB.html
53,"Para poder invertir, primero se necesita aprender a ahorrar",06-01-2020,https://www.cronista.com/columnistas/Para-poder-invertir-primero-se-necesita-aprender-a-ahorrar-20200106-0054.html
54,"Harvey Weinstein fue acusado de violación en Los Ángeles al comenzar su 
juicio en Nueva York",06-01-2020,https://www.infobae.com/america/entretenimiento/2020/01/07/harvey-weinstein-fue-acusado-de-violacion-en-los-angeles-al-comenzar-su-juicio-en-nueva-york/
55,​Cientos de miles de devotos homenajearon al Gauchito Gil ...,06-01-2020,https://diariolarepublica.com.ar/notix/noticia/18796/miles-de-devotos-ya-homenajean-al-gauchito-gil-en-mercedes--.html
56,"El Gobierno le retiró las cartas credenciales a la embajadora de Juan 
Guaidó en la Argentina",07-01-2020,https://www.infobae.com/politica/2020/01/07/el-gobierno-le-retiro-las-cartas-credenciales-a-la-embajadora-de-juan-guaido-en-la-argentina/
57,La AFIP reglamentó aplicación del impuesto PAIS,07-01-2020,https://www.cronista.com/economia-politica/La-Afip-reglamento-aplicacion-del-impuesto-PAIS-20200107-0006.html
58,Los pasajes de Aerolíneas Argentinas también pagarán el impuesto del 30%,07-01-2020,https://www.clarin.com/economia/economia/pasajes-aerolineas-argentinas-pagaran-impuesto-30-_0_L_QI9eL2.html
59,Todos los vuelos al exterior pagarán el impuesto de 30%,07-01-2020,https://eleconomista.com.ar/negocios/todos-vuelos-exterior-pagaran-impuesto-30-n30808
60,Denuncian unos 3000 feminicidios entre 2010 y 2019 en ...,07-01-2020,https://www.telesurtv.net/news/feminicidios-argentina-casos-mujeres-20200106-0037.html
61,"Ma s de $ 47.000.000 recaudados en el torneo de golf solidario de London 
Supply Group",07-01-2020,https://www.cronista.com/informacion-gral/Ma-s-de-47-000-000-recaudados-en-el-torneo-de-golf-solidario-de-London-Supply-Group-20200107-0035.html
62,El Banco Central anunció nuevos billetes que se imprimirán sin animales,07-01-2020,https://www.perfil.com/noticias/economia/banco-central-anuncio-nuevos-billetes-que-se-imprimiran-sin-animales.phtml
63,"Juanfer Quintero intenta volver a ser luego de los tres episodios que 
alteraron sus días",07-01-2020,https://www.infobae.com/deportes-2/2020/01/07/juanfer-quintero-intenta-volver-a-ser-luego-de-los-tres-episodios-que-alteraron-sus-dias/
64,Otra empresa en default: Dulcor comunicó que entró en cesación de pagos,07-01-2020,https://www.cronista.com/apertura-negocio/empresas/Otra-empresa-en-default-Dulcor-comunico-que-entro-en-cesacion-de-pagos-20200107-0004.html
65,"El Gobierno le quitó las credenciales diplomáticas a Elisa Trotta Gamus, 
embajadora de Guaidó",07-01-2020,https://www.perfil.com/noticias/politica/el-gobierno-le-quito-las-credenciales-diplomaticas-a-elisa-trotta-gamus-embajadora-de-guaido.phtml
66,"Discordia entre los grandes del fútbol argentino por el reinicio del 
torneo: cuál es la postura de cada uno",08-01-2020,https://www.infobae.com/deportes/2020/01/09/discordia-entre-los-grandes-del-futbol-argentino-por-el-reinicio-del-torneo-cual-es-la-postura-de-cada-uno/
67,Encuesta: qué opinan los argentinos de Donald Trump,08-01-2020,https://www.perfil.com/noticias/internacional/encuesta-que-opinan-argentinos-donald-trump.phtml
68,"Argentina, en el escalón más alto de presión impositiva a la producción",08-01-2020,https://www.eldia.com/nota/2020-1-8-3-8-58-argentina-en-el-escalon-mas-alto-de-presion-impositiva-a-la-produccion-politica-y-economia
69,"Video: Asus ROG presenta sus nuevas computadoras, con diseño compatible 
para el juego y el día a día",08-01-2020,https://www.clarin.com/tecnologia/video-asus-rog-presenta-nuevas-computadoras-diseno-compatible-juego-dia-dia_3_0lXD-00o.html
70,"Cobrar en tiempos de crisis: qué están haciendo las pymes y qué recomiendan 
los especialistas",08-01-2020,https://www.cronista.com/pyme/negocios-pyme/Cobrar-en-tiempos-de-crisis-que-estan-haciendo-las-pymes-y-que-recomiendan-los-especialistas-20200108-0003.html
71,"Ahorro en la playa: beneficios bancarios para disfrutar el verano 2020 en 
la Costa",08-01-2020,https://www.cronista.com/finanzas-mercados/Ahorro-en-la-playa-beneficios-bancarios-para-disfrutar-el-verano-2020-en-la-Costa-20200108-0055.html
72,Criba crece basada en la innovación y el trabajo en equipo,08-01-2020,https://www.clarin.com/arq/criba-crece-basada-innovacion-trabajo-equipo_0_6mw2QHPK.html
73,"De La Academia a las críticas por su peso: las implacables respuestas de 
Danna Paola a sus escándalos",08-01-2020,https://www.infobae.com/america/mexico/2020/01/08/de-la-academia-a-las-criticas-por-su-peso-las-implacables-respuestas-de-danna-paola-a-sus-escandalos/
74,Tres ejes para lograr una globalización más justa,08-01-2020,https://www.cronista.com/columnistas/Tres-ejes-para-lograr-una-globalizacion-mas-justa-20200108-0052.html
75,"Recorría las playas de Florida con un detector de metales y encontró una 
mina de la Segunda Guerra Mundial",08-01-2020,https://www.clarin.com/sociedad/recorria-playas-florida-detector-metales-encontro-mina-segunda-guerra-mundial_0_OCouOXB3.html
76,"A sólo tres meses de su desembarco en Argentina, la empresa de monopatines 
Lime cierra sus operaciones en el país",09-01-2020,https://www.infobae.com/economia/2020/01/09/a-solo-tres-meses-de-su-desembarco-en-argentina-la-empresa-de-monopatines-lime-cierra-sus-operaciones-en-el-pais/
77,Arcor busca expandirse en México y África por ...,09-01-2020,https://www.elpais.com.uy/negocios/noticias/arcor-busca-expandirse-en-mexico-y-africa-por-desaceleracion-economica-en-argentina
78,Margarita Barrientos confirmó que se suma al Plan Argentina ...,09-01-2020,https://www.telam.com.ar/notas/202001/422595-margarita-barrientos-suma-plan-contra-el-hambre.html
79,"¿Qué es la enfermedad de Lyme, la afección que contrajo ...",09-01-2020,https://www.ambito.com/lifestyle/salud/que-es-la-enfermedad-lyme-la-afeccion-que-contrajo-justin-bieber-n5075625
80,"María del Carmen Bianchi vuelve al frente de la Comisión Nacional de 
Bibliotecas Populares",09-01-2020,https://www.infobae.com/cultura/2020/01/09/maria-del-carmen-bianchi-vuelve-al-frente-de-la-comision-nacional-de-bibliotecas-populares/
